,id,Category,Name,Amount,Unit,List_Price,Price_per_unit_of_measure,Currency
0,2076239,mercearia,Atum em Azeite,0.12,KG,1.22,14.19,€
1,7405690,mercearia,Cápsulas de Café Buondi Int 8,64.0,UN,18.99,0.30,€
2,2113579,mercearia,Atum Filetes em Azeite,0.12,KG,2.53,32.44,€
3,2305902,mercearia,Arroz Agulha,1.0,KG,1.59,1.59,€
4,7106089,mercearia,Batata Frita Gourmet Lisa Corte Fino,0.15,KG,2.69,17.93,€
5,2062765,mercearia,Massa Esparguete,0.5,KG,1.16,2.32,€
6,5181067,mercearia,Bolachas Marinheiras com Chia,0.2,KG,2.14,10.70,€
7,2546351,mercearia,Atum ao Natural,0.12,KG,1.12,13.33,€
8,4949515,mercearia,Arroz Basmati,1.0,KG,2.06,2.06,€
9,7244148,mercearia,Tablete de Chocolate de Leite Extrafino sem Glúten,0.27,KG,4.25,15.74,€
10,2533075,mercearia,Atum Posta em Azeite,0.12,KG,1.78,22.82,€
11,5254224,mercearia,Massa Esparguete,0.5,KG,0.75,1.50,€
12,7554421,mercearia,Nestum Mel +3A,0.6,KG,4.25,7.08,€
14,7067924,mercearia,Cápsulas de Café Original Int 8,10.0,UN,4.29,0.43,€
15,7099734,mercearia,Azeite Virgem Extra Selecionado Pet,0.75,LT,5.17,6.89,€
16,2219043,mercearia,Adoçante Recarga,5.0,KG,5.44,129.52,€
17,7174207,mercearia,Leite em Pó Confort 2 +6M sem Glúten,0.8,KG,20.5,25.63,€
18,7394989,mercearia,Cápsulas de Café Qalidus Int 10,80.0,UN,22.99,0.29,€
19,7501512,mercearia,Bolachas Magic Dibus Mix & Go com Recheio de Creme,0.208,KG,1.29,6.20,€
20,6838666,mercearia,Mini Muffins Little Bites,0.188,KG,2.19,13.04,€
21,6593381,mercearia,Farinha com Cacau e Alfarroba Pensal +3A,0.25,KG,2.59,10.36,€
22,2700058,mercearia,Arroz Basmati Brajma Pronto a Comer sem Glúten,2.0,KG,1.55,6.20,€
23,2463432,mercearia,Bolachas Mini Pepitas de Chocolate,0.16,KG,2.29,14.31,€
24,4906498,mercearia,Bolo Planetus,0.31,KG,2.89,9.32,€
25,2003596,mercearia,Grão de Bico Cozido sem Glúten,0.41,KG,0.99,4.23,€
26,5038799,mercearia,Açúcar Branco,1.0,KG,1.39,1.39,€
28,7082533,mercearia,Azeite,0.75,LT,3.95,5.27,€
29,7241155,mercearia,Atum Posta ao Natural,0.12,KG,0.93,10.94,€
31,5096631,mercearia,"Doses Fruta Maçã, Banana, Laranja e Ananás Kids +3A",3.0,LT,1.83,5.55,€
32,6715842,mercearia,Bolachas Maria,0.8,KG,1.89,2.36,€
33,4310776,mercearia,Tomate em Pedaços,0.39,KG,0.89,2.28,€
34,7413055,mercearia,Batata Frita Palha Pack Poupança,0.4,KG,2.09,5.23,€
35,2433639,mercearia,Grão de Bico Cozido sem Glúten,0.54,KG,0.89,2.23,€
36,3697794,mercearia,Atum em Azeite,0.12,KG,1.02,12.00,€
37,2144985,mercearia,Salsichas Frankfurt Lata 10 un,0.38,KG,1.15,4.60,€
38,5986408,mercearia,Azeite Virgem Extra,0.75,LT,4.42,5.89,€
39,3003826,mercearia,Cogumelos Laminados sem Glúten,0.355,KG,1.19,6.43,€
40,6927230,mercearia,Arroz Agulha Europa,1.0,KG,1.12,1.12,€
41,5409202,mercearia,Azeite Virgem Extra Sublime,0.75,LT,5.46,7.28,€
42,2478141,mercearia,Cereais Chocapic,0.625,KG,3.74,5.98,€
43,7205706,mercearia,Caju Torrado sem Sal,0.2,KG,3.29,16.45,€
44,2533100,mercearia,Atum Posta ao Natural,0.12,KG,1.78,21.19,€
45,5971304,mercearia,Cogumelos Laminados sem Glúten,3.0,KG,2.25,7.14,€
46,4898365,mercearia,Polpa de Tomate,0.5,KG,0.99,1.98,€
47,5253941,mercearia,Massa Esparguete Pack Poupança,1.0,KG,1.31,1.31,€
48,3697795,mercearia,Atum Posta ao Natural,0.12,KG,0.93,10.94,€
50,7702575,mercearia,Massa Esparguete,0.55,KG,1.21,2.42,€
51,7267765,mercearia,Saqueta de Fruta Banana e Morango +8M,0.09,KG,0.74,8.22,€
52,2060683,mercearia,Massa Espirais,0.5,KG,0.7,1.40,€
53,2003646,mercearia,Atum Posta em Óleo sem Glúten,0.12,KG,1.18,15.13,€
54,7273629,mercearia,Saqueta de Fruta Maçã e Banana +8M,0.09,KG,0.74,8.22,€
55,7273631,mercearia,Saqueta de Fruta Maçã e Manga +8M,0.09,KG,0.74,8.22,€
57,4333509,mercearia,Polpa de Tomate,3.0,KG,1.49,2.37,€
58,4915129,mercearia,Bolachas Recheadas Cacau,0.5,KG,1.59,3.18,€
59,6998175,mercearia,Miolo de Caju Cru,0.2,KG,2.79,13.95,€
60,6998166,mercearia,Miolo de Caju com Sal,0.2,KG,2.65,13.25,€
