,time_scraped,quantity,main_category,name,amount,unit,price,price_p_unit,currency,id,brand,full_category,variant,channel
0,16/05/2023 23:28:29,120 GR (PESO ESCORRIDO 86 GR) | 14.19 €/KG,mercearia,Atum em Azeite,120 GR,KG,1.22,14.19,€,2076239,Ramirez,Mercearia/Conservas/Atum,,col
1,16/05/2023 23:28:29,64 UN | 0.30 €/UN,mercearia,Cápsulas de Café Buondi Int 8,64 UN,UN,18.99,0.30,€,7405690,Dolce Gusto,"Mercearia/Café, Chá e Chocolate Solúvel/Café em Cápsulas",,col
2,16/05/2023 23:28:29,120 GR (PESO ESCORRIDO 78 GR) | 32.44 €/KG,mercearia,Atum Filetes em Azeite,120 GR,KG,2.53,32.44,€,2113579,Tenorio,Mercearia/Conservas/Atum,,col
3,16/05/2023 23:28:29,1 KG | 1.59 €/KG,mercearia,Arroz Agulha,1 KG,KG,1.59,1.59,€,2305902,Cigala,"Mercearia/Arroz, Massa e Farinha/Arroz",,col
4,16/05/2023 23:28:29,150 GR | 17.93 €/KG,mercearia,Batata Frita Gourmet Lisa Corte Fino,150 GR,KG,2.69,17.93,€,7106089,Lays Gourmet,Mercearia/Snacks e Batatas Fritas/Batatas Fritas,,col
5,16/05/2023 23:28:29,500 GR | 2.32 €/KG,mercearia,Massa Esparguete,500 GR,KG,1.16,2.32,€,2062765,Barilla,"Mercearia/Arroz, Massa e Farinha/Massa",,col
6,16/05/2023 23:28:29,200 GR | 10.70 €/KG,mercearia,Bolachas Marinheiras com Chia,200 GR,KG,2.14,10.70,€,5181067,Cem Porcento,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas e Biscoitos Salgados",,col
7,16/05/2023 23:28:29,120 GR (PESO ESCORRIDO 84 GR) | 13.33 €/KG,mercearia,Atum ao Natural,120 GR,KG,1.12,13.33,€,2546351,Ramirez,Mercearia/Conservas/Atum,,col
8,16/05/2023 23:28:29,1 KG | 2.06 €/KG,mercearia,Arroz Basmati,1 KG,KG,2.06,2.06,€,4949515,Continente,"Mercearia/Arroz, Massa e Farinha/Arroz",,col
9,16/05/2023 23:28:29,270 GR | 15.74 €/KG,mercearia,Tablete de Chocolate de Leite Extrafino sem Glúten,270 GR,KG,4.25,15.74,€,7244148,Nestlé,"Mercearia/Chocolate, Gomas e Rebuçados/Chocolates",,col
10,16/05/2023 23:28:29,120 GR (PESO ESCORRIDO 78 GR) | 22.82 €/KG,mercearia,Atum Posta em Azeite,120 GR,KG,1.78,22.82,€,2533075,Bom Petisco,Mercearia/Conservas/Atum,,col
11,16/05/2023 23:28:29,500 GR | 1.50 €/KG,mercearia,Massa Esparguete,500 GR,KG,0.75,1.50,€,5254224,Continente,"Mercearia/Arroz, Massa e Farinha/Massa",,col
12,16/05/2023 23:28:29,600 GR | 7.08 €/KG,mercearia,Nestum Mel +3A,600 GR,KG,4.25,7.08,€,7554421,Nestum,Mercearia/Alimentação Infantil/Papas Infantis,,col
13,16/05/2023 23:28:29,1 LT | 1.74 €/LT,mercearia,Óleo de Girassol Puro,1 LT,LT,1.74,1.74,€,4403919,Fula,"Mercearia/Azeite, Óleo e Vinagre/Óleo Alimentar",,col
14,16/05/2023 23:28:29,10 UN | 0.43 €/UN,mercearia,Cápsulas de Café Original Int 8,10 UN,UN,4.29,0.43,€,7067924,Buondi,"Mercearia/Café, Chá e Chocolate Solúvel/Café em Cápsulas",,col
15,16/05/2023 23:28:29,75 CL | 6.89 €/LT,mercearia,Azeite Virgem Extra Selecionado Pet,75 CL,LT,5.17,6.89,€,7099734,Oliveira da Serra,"Mercearia/Azeite, Óleo e Vinagre/Azeite",,col
16,16/05/2023 23:28:29,5 X 100 UN | 129.52 €/KG,mercearia,Adoçante Recarga,5 X,KG,5.44,129.52,€,2219043,Canderel,Mercearia/Açúcar e Sobremesas/Açúcar e Adoçante,,col
17,16/05/2023 23:28:29,800 GR | 25.63 €/KG,mercearia,Leite em Pó Confort 2 +6M sem Glúten,800 GR,KG,20.5,25.63,€,7174207,Aptamil,Mercearia/Alimentação Infantil/Leites Infantis,,col
18,16/05/2023 23:28:29,80 UN | 0.29 €/UN,mercearia,Cápsulas de Café Qalidus Int 10,80 UN,UN,22.99,0.29,€,7394989,Delta Q,"Mercearia/Café, Chá e Chocolate Solúvel/Café em Cápsulas",,col
19,16/05/2023 23:28:29,208 GR (5 UN) | 6.20 €/KG,mercearia,Bolachas Magic Dibus Mix & Go com Recheio de Creme,208 GR,KG,1.29,6.20,€,7501512,Gullón,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas Infantis",,col
20,16/05/2023 23:28:30,188 GR (4 UN) | 13.04 €/KG,mercearia,Mini Muffins Little Bites,188 GR,KG,2.19,13.04,€,6838666,Bimbo,"Mercearia/Bolachas, Biscoitos e Tostas/Bolos, Napolitanas, Queques",,col
21,16/05/2023 23:28:30,250 GR | 10.36 €/KG,mercearia,Farinha com Cacau e Alfarroba Pensal +3A,250 GR,KG,2.59,10.36,€,6593381,Nestlé,Mercearia/Alimentação Infantil/Papas Infantis,,col
22,16/05/2023 23:28:30,2 X 125 GR | 6.20 €/KG,mercearia,Arroz Basmati Brajma Pronto a Comer sem Glúten,2 X,KG,1.55,6.20,€,2700058,Cigala,Negócios/Mercearia,,col
23,16/05/2023 23:28:30,160 GR (4 UN) | 14.31 €/KG,mercearia,Bolachas Mini Pepitas de Chocolate,160 GR,KG,2.29,14.31,€,2463432,Chips Ahoy,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas de Chocolate",,col
24,16/05/2023 23:29:00,310 GR (9 UN) | 9.32 €/KG,mercearia,Bolo Planetus,310 GR,KG,2.89,9.32,€,4906498,Manhãzitos,"Mercearia/Bolachas, Biscoitos e Tostas/Bolos, Napolitanas, Queques",,col
25,16/05/2023 23:29:00,410 GR (PESO ESCORRIDO 234 GR) | 4.23 €/KG,mercearia,Grão de Bico Cozido sem Glúten,410 GR,KG,0.99,4.23,€,2003596,Compal da Horta,Mercearia/Conservas/Feijão e Grão de Bico,,col
26,16/05/2023 23:29:00,1 KG | 1.39 €/KG,mercearia,Açúcar Branco,1 KG,KG,1.39,1.39,€,5038799,Continente,Mercearia/Açúcar e Sobremesas/Açúcar e Adoçante,,col
27,16/05/2023 23:29:00,NONE QUANTITY | 7.18 €/UN,mercearia,Dia de Jogo,NONE QUANTITY,UN,7.18,7.18,€,foodheinekenlays,,Mercearia/Snacks e Batatas Fritas/Batatas Fritas,,col
28,16/05/2023 23:29:00,75 CL | 5.27 €/LT,mercearia,Azeite,75 CL,LT,3.95,5.27,€,7082533,Continente,"Mercearia/Azeite, Óleo e Vinagre/Azeite",,col
29,16/05/2023 23:29:00,120 GR (PESO ESCORRIDO 85 GR) | 10.94 €/KG,mercearia,Atum Posta ao Natural,120 GR,KG,0.93,10.94,€,7241155,Continente Equilíbrio,Mercearia/Conservas/Atum,,col
30,16/05/2023 23:29:00,3 LT | 6.28 €/LT,mercearia,Azeite Virgem Extra DOP Moura,3 LT,LT,18.85,6.28,€,4271422,Continente Seleção,"Mercearia/Azeite, Óleo e Vinagre/Azeite",,col
31,16/05/2023 23:29:00,3 X 11 CL | 5.55 €/LT,mercearia,"Doses Fruta Maçã, Banana, Laranja e Ananás Kids +3A",3 X,LT,1.83,5.55,€,5096631,Compal Essencial,Bebidas e Garrafeira/Sumos e Refrigerantes/Sumos 100% Fruta,,col
32,16/05/2023 23:29:00,800 GR (4 UN) | 2.36 €/KG,mercearia,Bolachas Maria,800 GR,KG,1.89,2.36,€,6715842,Continente,"Mercearia/Bolachas, Biscoitos e Tostas/Maria, Torrada e Biscoitos",,col
33,16/05/2023 23:29:00,390 GR | 2.28 €/KG,mercearia,Tomate em Pedaços,390 GR,KG,0.89,2.28,€,4310776,Continente,"Mercearia/Conservas/Tomate Polpa, Pelado e Seco",,col
34,16/05/2023 23:29:00,400 GR | 5.23 €/KG,mercearia,Batata Frita Palha Pack Poupança,400 GR,KG,2.09,5.23,€,7413055,Continente,Mercearia/Snacks e Batatas Fritas/Batatas Fritas,,col
35,16/05/2023 23:29:00,540 GR (PESO ESCORRIDO 400 GR) | 2.23 €/KG,mercearia,Grão de Bico Cozido sem Glúten,540 GR,KG,0.89,2.23,€,2433639,Continente,Mercearia/Conservas/Feijão e Grão de Bico,,col
36,16/05/2023 23:29:00,120 GR (PESO ESCORRIDO 78 GR) | 12.00 €/KG,mercearia,Atum em Azeite,120 GR,KG,1.02,12.00,€,3697794,Continente,Mercearia/Conservas/Atum,,col
37,16/05/2023 23:29:00,380 GR (PESO ESCORRIDO 250 GR) | 4.60 €/KG,mercearia,Salsichas Frankfurt Lata 10 un,380 GR,KG,1.15,4.60,€,2144985,Continente,Mercearia/Conservas/Salsichas,,col
38,16/05/2023 23:29:00,75 CL | 5.89 €/LT,mercearia,Azeite Virgem Extra,75 CL,LT,4.42,5.89,€,5986408,Continente,"Mercearia/Azeite, Óleo e Vinagre/Azeite",,col
39,16/05/2023 23:29:00,355 GR (PESO ESCORRIDO 185 GR) | 6.43 €/KG,mercearia,Cogumelos Laminados sem Glúten,355 GR,KG,1.19,6.43,€,3003826,Continente,"Mercearia/Conservas/Cogumelos, Milho, Ervilhas",,col
40,16/05/2023 23:29:00,1 KG | 1.12 €/KG,mercearia,Arroz Agulha Europa,1 KG,KG,1.12,1.12,€,6927230,Continente,"Mercearia/Arroz, Massa e Farinha/Arroz",,col
41,16/05/2023 23:29:00,75 CL | 7.28 €/LT,mercearia,Azeite Virgem Extra Sublime,75 CL,LT,5.46,7.28,€,5409202,Gallo,"Mercearia/Azeite, Óleo e Vinagre/Azeite",,col
42,16/05/2023 23:29:00,625 GR | 5.98 €/KG,mercearia,Cereais Chocapic,625 GR,KG,3.74,5.98,€,2478141,Chocapic,Mercearia/Cereais e Barras/Cereais Infantis e Juvenis,,col
43,16/05/2023 23:29:00,200 GR | 16.45 €/KG,mercearia,Caju Torrado sem Sal,200 GR,KG,3.29,16.45,€,7205706,Continente,"Frutas e Legumes/Frutos Secos, Desidratados e Sementes/Frutos Secos",,col
44,16/05/2023 23:29:00,120 GR (PESO ESCORRIDO 84 GR) | 21.19 €/KG,mercearia,Atum Posta ao Natural,120 GR,KG,1.78,21.19,€,2533100,Bom Petisco,Mercearia/Conservas/Atum,,col
45,16/05/2023 23:29:00,3 X 185 GR (PESO ESCORRIDO 3 X 105 GR) | 7.14 €/KG,mercearia,Cogumelos Laminados sem Glúten,3 X,KG,2.25,7.14,€,5971304,Continente,"Mercearia/Conservas/Cogumelos, Milho, Ervilhas",,col
46,16/05/2023 23:29:00,500 GR | 1.98 €/KG,mercearia,Polpa de Tomate,500 GR,KG,0.99,1.98,€,4898365,Continente,"Mercearia/Conservas/Tomate Polpa, Pelado e Seco",,col
47,16/05/2023 23:29:00,1 KG | 1.31 €/KG,mercearia,Massa Esparguete Pack Poupança,1 KG,KG,1.31,1.31,€,5253941,Continente,"Mercearia/Arroz, Massa e Farinha/Massa",,col
48,16/05/2023 23:29:16,120 GR (PESO ESCORRIDO 85 GR) | 10.94 €/KG,mercearia,Atum Posta ao Natural,120 GR,KG,0.93,10.94,€,3697795,Continente Equilíbrio,Mercearia/Conservas/Atum,,col
49,16/05/2023 23:29:16,1 LT | 1.59 €/LT,mercearia,Óleo Alimentar,1 LT,LT,1.59,1.59,€,5045342,Continente,"Mercearia/Azeite, Óleo e Vinagre/Óleo Alimentar",,col
50,16/05/2023 23:29:16,550 GR | 2.42 €/KG,mercearia,Massa Esparguete,550 GR,KG,1.21,2.42,€,7702575,Milaneza,"Mercearia/Arroz, Massa e Farinha/Massa",,col
51,16/05/2023 23:29:16,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Banana e Morango +8M,90 GR,KG,0.74,8.22,€,7267765,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
52,16/05/2023 23:29:16,500 GR | 1.40 €/KG,mercearia,Massa Espirais,500 GR,KG,0.7,1.40,€,2060683,Continente,"Mercearia/Arroz, Massa e Farinha/Massa",,col
53,16/05/2023 23:29:16,120 GR (PESO ESCORRIDO 78 GR) | 15.13 €/KG,mercearia,Atum Posta em Óleo sem Glúten,120 GR,KG,1.18,15.13,€,2003646,Bom Petisco,Mercearia/Conservas/Atum,,col
54,16/05/2023 23:29:16,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Maçã e Banana +8M,90 GR,KG,0.74,8.22,€,7273629,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
55,16/05/2023 23:29:16,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Maçã e Manga +8M,90 GR,KG,0.74,8.22,€,7273631,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
56,16/05/2023 23:29:16,"1,5 LT | 6.47 €/LT",mercearia,Azeite Virgem Extra,"1,5 LT",LT,9.7,6.47,€,6661060,Oliveira da Serra,"Mercearia/Azeite, Óleo e Vinagre/Azeite",,col
57,16/05/2023 23:29:16,3 X 210 GR | 2.37 €/KG,mercearia,Polpa de Tomate,3 X,KG,1.49,2.37,€,4333509,Compal da Horta,"Mercearia/Conservas/Tomate Polpa, Pelado e Seco",,col
58,16/05/2023 23:29:16,500 GR | 3.18 €/KG,mercearia,Bolachas Recheadas Cacau,500 GR,KG,1.59,3.18,€,4915129,Continente,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas com Cobertura e Recheio",,col
59,16/05/2023 23:29:16,200 GR | 13.95 €/KG,mercearia,Miolo de Caju Cru,200 GR,KG,2.79,13.95,€,6998175,Continente,"Frutas e Legumes/Frutos Secos, Desidratados e Sementes/Frutos Secos",,col
60,16/05/2023 23:29:16,200 GR | 13.25 €/KG,mercearia,Miolo de Caju com Sal,200 GR,KG,2.65,13.25,€,6998166,Continente,"Frutas e Legumes/Frutos Secos, Desidratados e Sementes/Frutos Secos",,col
61,16/05/2023 23:29:16,3 X 11 CL | 5.55 €/LT,mercearia,Doses Fruta Manga +3A,3 X,LT,1.83,5.55,€,3027230,Compal Essencial,Bebidas e Garrafeira/Sumos e Refrigerantes/Sumos 100% Fruta,,col
62,16/05/2023 23:29:16,3 LT | 1.73 €/LT,mercearia,Óleo Alimentar,3 LT,LT,5.19,1.73,€,2001328,Fula,"Mercearia/Azeite, Óleo e Vinagre/Óleo Alimentar",,col
63,16/05/2023 23:29:16,385 GR (PESO ESCORRIDO 270 GR) | 9.37 €/KG,mercearia,Atum ao Natural,385 GR,KG,2.53,9.37,€,7314138,Tritão,Mercearia/Conservas/Atum,,col
64,16/05/2023 23:29:16,500 GR | 4.88 €/KG,mercearia,Massa Fusilli,500 GR,KG,2.44,4.88,€,2417163,Barilla,"Mercearia/Arroz, Massa e Farinha/Massa",,col
65,16/05/2023 23:29:16,90 GR | 8.22 €/KG,mercearia,Saqueta de Frutos Tropicais +8M,90 GR,KG,0.74,8.22,€,7275586,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
66,16/05/2023 23:29:16,200 GR | 12.45 €/KG,mercearia,Miolo de Noz Metades,200 GR,KG,2.49,12.45,€,6998176,Continente,"Frutas e Legumes/Frutos Secos, Desidratados e Sementes",,col
67,16/05/2023 23:29:16,3 X 140 GR (PESO ESCORRIDO 3 X 72 GR) | 9.50 €/KG,mercearia,Milho Doce sem Glúten,3 X,KG,3.99,9.50,€,2384483,Bonduelle,"Mercearia/Conservas/Cogumelos, Milho, Ervilhas",,col
68,16/05/2023 23:29:16,1 KG | 1.31 €/KG,mercearia,Arroz Carolino,1 KG,KG,1.31,1.31,€,4738050,Continente,"Mercearia/Arroz, Massa e Farinha/Arroz",,col
69,16/05/2023 23:29:16,120 GR (PESO ESCORRIDO 78 GR) | 26.41 €/KG,mercearia,Atum Posta em Azeite,120 GR,KG,2.06,26.41,€,7430567,Minerva,Mercearia/Conservas/Atum,,col
70,16/05/2023 23:29:16,150 GR | 7.93 €/KG,mercearia,Batata Frita Lisa Azeite,150 GR,KG,1.19,7.93,€,4386982,Continente,Mercearia/Snacks e Batatas Fritas/Batatas Fritas,,col
71,16/05/2023 23:29:16,3 X 150 GR (PESO ESCORRIDO 3 X 140 GR) | 4.50 €/KG,mercearia,Milho Doce sem Glúten,3 X,KG,1.89,4.50,€,6432839,Continente,"Mercearia/Conservas/Cogumelos, Milho, Ervilhas",,col
72,16/05/2023 23:29:40,120 GR (PESO ESCORRIDO: 85 GR) | 12.00 €/KG,mercearia,Atum Posta em Azeite,120 GR,KG,1.02,12.00,€,7654429,Continente Seleção,Mercearia/Conservas/Atum,,col
