,Old_index,Name,Amount,List_Price,Price_per_unit_of_measure,Currency,Store,Standardized_Category,Abbr_Category,Cabaz_product
0,0,Atum em Azeite,0.12,1.22,14.19,€,continete,mercearia,MERC,12
2,2,Atum Filetes em Azeite,0.12,2.53,32.44,€,continete,mercearia,MERC,12
3,3,Arroz Agulha,1.0,1.59,1.59,€,continete,mercearia,MERC,2
5,5,Massa Esparguete,0.5,1.16,2.32,€,continete,mercearia,MERC,3
7,7,Atum ao Natural,0.12,1.12,13.33,€,continete,mercearia,MERC,12
8,8,Arroz Basmati,1.0,2.06,2.06,€,continete,mercearia,MERC,2
9,9,Tablete de Chocolate de Leite Extrafino sem Glúten,0.27,4.25,15.74,€,continete,mercearia,MERC,0
10,10,Atum Posta em Azeite,0.12,1.78,22.82,€,continete,mercearia,MERC,12
11,11,Massa Esparguete,0.5,0.75,1.50,€,continete,mercearia,MERC,3
14,15,Azeite Virgem Extra Selecionado Pet,0.75,5.17,6.89,€,continete,mercearia,MERC,22
16,17,Leite em Pó Confort 2 +6M sem Glúten,0.8,20.5,25.63,€,continete,mercearia,MERC,0
21,22,Arroz Basmati Brajma Pronto a Comer sem Glúten,2.0,1.55,6.20,€,continete,mercearia,MERC,2
24,25,Grão de Bico Cozido sem Glúten,0.41,0.99,4.23,€,continete,mercearia,MERC,8
26,28,Azeite,0.75,3.95,5.27,€,continete,mercearia,MERC,22
27,29,Atum Posta ao Natural,0.12,0.93,10.94,€,continete,mercearia,MERC,12
30,33,Tomate em Pedaços,0.39,0.89,2.28,€,continete,mercearia,MERC,15
32,35,Grão de Bico Cozido sem Glúten,0.54,0.89,2.23,€,continete,mercearia,MERC,8
33,36,Atum em Azeite,0.12,1.02,12.00,€,continete,mercearia,MERC,12
35,38,Azeite Virgem Extra,0.75,4.42,5.89,€,continete,mercearia,MERC,22
37,40,Arroz Agulha Europa,1.0,1.12,1.12,€,continete,mercearia,MERC,2
38,41,Azeite Virgem Extra Sublime,0.75,5.46,7.28,€,continete,mercearia,MERC,22
