Old_index,Name,Amount,List_Price,Price_per_unit_of_measure,Store,Cabaz_product,Standardized_Category,Abbr_Category,Currency
8530,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8547,Leite UHT Meio Gordo,3.0,0.89,1.48,continete,0,leite_ovos,LEOV,€
8809,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8915,Leite UHT Meio Gordo,8.0,6.4,0.8,continete,0,leite_ovos,LEOV,€
9248,Leite UHT Meio Gordo,0.25,0.92,3.68,continete,0,leite_ovos,LEOV,€
8530,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8547,Leite UHT Meio Gordo,3.0,0.89,1.48,continete,0,leite_ovos,LEOV,€
8809,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8915,Leite UHT Meio Gordo,8.0,6.4,0.8,continete,0,leite_ovos,LEOV,€
9248,Leite UHT Meio Gordo,0.25,0.92,3.68,continete,0,leite_ovos,LEOV,€
8530,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8547,Leite UHT Meio Gordo,3.0,0.89,1.48,continete,0,leite_ovos,LEOV,€
8809,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8915,Leite UHT Meio Gordo,8.0,6.4,0.8,continete,0,leite_ovos,LEOV,€
9248,Leite UHT Meio Gordo,0.25,0.92,3.68,continete,0,leite_ovos,LEOV,€
8530,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8547,Leite UHT Meio Gordo,3.0,0.89,1.48,continete,0,leite_ovos,LEOV,€
8809,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8915,Leite UHT Meio Gordo,8.0,6.4,0.8,continete,0,leite_ovos,LEOV,€
9248,Leite UHT Meio Gordo,0.25,0.92,3.68,continete,0,leite_ovos,LEOV,€
8530,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8547,Leite UHT Meio Gordo,3.0,0.89,1.48,continete,0,leite_ovos,LEOV,€
8809,Leite UHT Meio Gordo,3.0,1.11,1.85,continete,0,leite_ovos,LEOV,€
8915,Leite UHT Meio Gordo,8.0,6.4,0.8,continete,0,leite_ovos,LEOV,€
9248,Leite UHT Meio Gordo,0.25,0.92,3.68,continete,0,leite_ovos,LEOV,€
9526,Leite Meio Gordo Fresco,4.0,1.87,1.87,continete,0,leite_ovos,LEOV,€
16597, Leite Meio Gordo Vigor ,1.0,1.78,1.78,pingo_doce,0,leite_ovos,LEOV,€
6101,Leite Meio Gordo sem Lactose,4.0,1.97,2.46,continete,0,mercearia,MERC,€
8548,Leite Meio Gordo sem Lactose,4.0,1.97,2.46,continete,0,leite_ovos,LEOV,€
7930,Leite Meio Gordo Infantil sem Lactose + 3 Anos,4.0,2.19,2.74,continete,0,mercearia,MERC,€
9432,Leite Meio Gordo Infantil sem Lactose + 3 Anos,4.0,2.19,2.74,continete,0,leite_ovos,LEOV,€
6101,Leite Meio Gordo sem Lactose,4.0,1.97,2.46,continete,0,mercearia,MERC,€
8548,Leite Meio Gordo sem Lactose,4.0,1.97,2.46,continete,0,leite_ovos,LEOV,€
7930,Leite Meio Gordo Infantil sem Lactose + 3 Anos,4.0,2.19,2.74,continete,0,mercearia,MERC,€
9432,Leite Meio Gordo Infantil sem Lactose + 3 Anos,4.0,2.19,2.74,continete,0,leite_ovos,LEOV,€
9,Tablete de Chocolate de Leite Extrafino sem GlÃºten,0.27,4.25,15.74,continete,0,mercearia,MERC,€
2977,Tablete de Chocolate de Leite Extrafino sem GlÃºten,0.125,1.64,13.12,continete,0,mercearia,MERC,€
6725,Tablete de Chocolate de Leite Extrafino sem GlÃºten,0.27,4.25,15.74,continete,0,mercearia,MERC,€
7259,Tablete de Chocolate de Leite Extrafino sem GlÃºten,0.125,1.64,13.12,continete,0,mercearia,MERC,€
17,Leite em PÃ³ Confort 2 +6M sem GlÃºten,0.8,20.5,25.63,continete,0,mercearia,MERC,€
3920,Leite em PÃ³ Confort 2 +6M sem GlÃºten,0.8,22.63,28.29,continete,0,mercearia,MERC,€
192,Bolachas Cobertas Chocolate de Leite,0.15,1.29,8.6,continete,0,mercearia,MERC,€
332,Bolachas Argolinhas com Cobertura Chocolate de Leite,0.15,0.79,5.27,continete,0,mercearia,MERC,€
9747,Queijo Meio Gordo,0.5,7.06,14.12,continete,1,frigorifico,FRIGO,€
10114,Queijo Meio Gordo,0.55,7.53,13.69,continete,1,frigorifico,FRIGO,€
9747,Queijo Meio Gordo,0.5,7.06,14.12,continete,1,frigorifico,FRIGO,€
10114,Queijo Meio Gordo,0.55,7.53,13.69,continete,1,frigorifico,FRIGO,€
9745,Queijo Fresco Meio Gordo,0.2,0.93,4.65,continete,1,frigorifico,FRIGO,€
9751,Queijo Fresco Meio Gordo,0.08,0.55,6.88,continete,1,frigorifico,FRIGO,€
9745,Queijo Fresco Meio Gordo,0.2,0.93,4.65,continete,1,frigorifico,FRIGO,€
9751,Queijo Fresco Meio Gordo,0.08,0.55,6.88,continete,1,frigorifico,FRIGO,€
10003,Queijo Meio Gordo sem Lactose,0.25,3.95,15.8,continete,1,frigorifico,FRIGO,€
16972, Queijo Meio Gordo Fonte Mourisca ,1.3,13.19,13.19,pingo_doce,1,frigorÃ­fico,frigorÃ­fico,€
17334, Queijo Meio Gordo D. Pedro ,1.02,10.84,10.84,pingo_doce,1,frigorÃ­fico,frigorÃ­fico,€
461,Snack EquilÃ­brio de Cereais Queijo e Cebola,0.095,2.15,22.63,continete,1,mercearia,MERC,€
690,Snacks Milho Futebolas Sabor Queijo,0.13,1.99,15.31,continete,1,mercearia,MERC,€
1159,Snack para BebÃ© Ervilha e Queijo +8M,0.02,1.19,59.5,continete,1,mercearia,MERC,€
6496,Snack para BebÃ© Ervilha e Queijo +8M,0.02,1.19,59.5,continete,1,mercearia,MERC,€
1481,Nachos de Milho Sabor a Queijo,0.15,1.19,7.93,continete,1,mercearia,MERC,€
