Name,Quantity,Price,Time scraped
 Doce de Abóbora Sabores do Campo ," 310 G  | 6,42 €/KG
"," 1,99 € ",2023-05-12 18:26:22
 Sal em Saco Rui Simeão Marinho DOP ," 1.5 KG  | 0,91 €/KG
"," 1,37 € ",2023-05-12 18:26:22
 Doce de Tomate Sabores do Campo ," 310 G  | 6,42 €/KG
"," 1,99 € ",2023-05-12 18:26:22
 Snack Hóstias de Camarão Zanuy ," 50 G  | 35,80 €/KG
"," 1,79 € ",2023-05-12 18:26:22
 Cacau Cru em Pepitas Seara ," 100 G  | 39,90 €/KG
"," 3,99 € ",2023-05-12 18:26:22
 Pimenta Branca Moída Pingo Doce ," 43 G  | 20,70 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Ervilhas Jerónimos ," 340 G  | 4,68 €/KG
"," 1,59 € ",2023-05-12 18:26:22
 Adoçante em Pó Pingo Doce ," 90 G  | 25,44 €/KG
"," 2,29 € ",2023-05-12 18:26:22
 Bolachas Canudinhos Waffer Dailidoce ," 300 G  | 8,47 €/KG
"," 2,54 € ",2023-05-12 18:26:22
 Doce de Morango Sabores do Campo ," 310 G  | 6,42 €/KG
"," 1,99 € ",2023-05-12 18:26:22
 Jaca em Calda Koala ," 565 G  | 5,01 €/KG
"," 2,83 € ",2023-05-12 18:26:22
 Risotto com Cogumelos Porcini Pingo Doce ," 175 G  | 7,94 €/KG
"," 1,39 € ",2023-05-12 18:26:22
 Tablete Chocolate Negro 70% Sobremesas Lindt ," 200 G  | 19,95 €/KG
"," 3,99 € ",2023-05-12 18:26:22
 Molho de Mostarda com Pickles Bandido ," 200 G  | 11,25 €/KG
"," 2,25 € ",2023-05-12 18:26:22
 Molho Inglês Savora ," 120 ML  | 14,08 €/LT
"," 1,69 € ",2023-05-12 18:26:22
 Farinha para Pão Branco Pingo Doce ," 500 G  | 1,98 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Feijão Branco Seco Pingo Doce ," 500 G  | 1,98 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Aroma de Baunilha Globo ," 28 ML  | 47,86 €/LT
"," 1,34 € ",2023-05-12 18:26:22
 Farinha de Arroz Globo ," 250 G  | 3,16 €/KG
"," 0,79 € ",2023-05-12 18:26:22
 Bolachas de Manteiga Tradicionais St Michel ," 130 G  | 14,54 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Piri-piri Moído Pingo Doce ," 41 G  | 14,39 €/KG
"," 0,59 € ",2023-05-12 18:26:22
 Sopa Miso Saitaku ," 88 G  | 22,61 €/KG
"," 1,99 € ",2023-05-12 18:26:22
 Waffers de Baunilha Dailidoce ," 250 G  | 8,16 €/KG
"," 2,04 € ",2023-05-12 18:26:22
 Farinha para Bolo de Chocolate Pingo Doce ," 500 G  | 4,98 €/KG
"," 2,49 € ",2023-05-12 18:26:22
 Pastilha Elástica de Peppermint Pingo Doce ," 26.1 G  | 18,77 €/KG
"," 0,49 € ",2023-05-12 18:26:22
 Doce de Figo Sabores do Campo ," 310 G  | 6,42 €/KG
"," 1,99 € ",2023-05-12 18:26:22
 Molho Piri-Piri Extreme Bandido ," 100 ML  | 22,50 €/LT
"," 2,25 € ",2023-05-12 18:26:22
 Molho Piri-Piri Original Bandido ," 100 ML  | 22,50 €/LT
"," 2,25 € ",2023-05-12 18:26:22
 Molho para Francesinha Pingo Doce ," 500 ML  | 3,98 €/LT
"," 1,99 € ",2023-05-12 18:26:22
 Bolsa de Fruta Manga Um Bongo ," 90 G  | 11,00 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pipocas Doces Saloinha ," 150 G  | 8,60 €/KG
"," 1,29 € ",2023-05-12 18:26:22
 Rebuçados para a Tosse Pingo Doce ," 200 G  | 5,45 €/KG
"," 1,09 € ",2023-05-12 18:26:22
 Bolachas de Manteiga com Recheio de Caramelo Daelmans ," 230 G  | 10,39 €/KG
"," 2,39 € ",2023-05-12 18:26:22
 Feijoca Branca Cister ," 400 G  | 1,55 €/KG
"," 0,62 € ",2023-05-12 18:26:22
 Pastilha Elástica de Melão e Amora Pingo Doce ," 22 G  | 28,64 €/KG
"," 0,63 € ",2023-05-12 18:26:22
 Molho Inglês Pingo Doce ," 192 ML  | 5,16 €/LT
"," 0,99 € ",2023-05-12 18:26:22
 Leite de Coco Condensado com Chocolate Koala ," 320 G  | 9,03 €/KG
"," 2,89 € ",2023-05-12 18:26:22
 Flor de Sal Marinho Rui Simeão ," 250 G  | 9,00 €/KG
"," 2,25 € ",2023-05-12 18:26:22
 Lichias em Calda Globo ," 565 G  | 6,71 €/KG
"," 3,79 € ",2023-05-12 18:26:22
 Molho de Piri Piri Jalapeño Bandido ," 100 ML  | 22,50 €/LT
"," 2,25 € ",2023-05-12 18:26:22
 Velas e Números Vahine ," 10 UN  | 0,52 €/UNIDADE
"," 5,19 € ",2023-05-12 18:26:22
 Gelatina de Frutos Vermelhos +Proteína Condi ," 80 G  | 39,25 €/KG
"," 3,14 € ",2023-05-12 18:26:22
 Bolachas Maria Pingo Doce ," 200 G  | 2,95 €/KG
"," 0,59 € ",2023-05-12 18:26:22
 Tomilho em Folha Pingo Doce ," 20 G  | 44,50 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Leite Creme Pingo Doce ," 4X23 G  | 5,33 €/KG
"," 0,49 € ",2023-05-12 18:26:22
 Pastilha Elástica de Canela Chiclets ," 16.8 G  | 58,93 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Cebolinho Pingo Doce ," 4.5 G  | 220,00 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica de Spearmint Chiclets ," 16.8 G  | 58,93 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Sardinha sem Pele e sem Espinha em Azeite Pingo Doce ," 120 G  | 14,08 €/KG
"," 1,69 € ",2023-05-12 18:26:22
 Sardinha sem Pele e sem Espinha em Tomate Pingo Doce ," 120 G  | 14,08 €/KG
"," 1,69 € ",2023-05-12 18:26:22
 Rebuçados Peitorais Dr. Bayard ," 200 G  | 10,75 €/KG
"," 2,15 € ",2023-05-12 18:26:22
 Molho de Vinagrete com Mostarda L'Ancienne Pingo Doce ," 245 ML  | 5,67 €/LT
"," 1,39 € ",2023-05-12 18:26:22
 Farinha de Arroz Ceifeira ," 500 G  | 2,18 €/KG
"," 1,09 € ",2023-05-12 18:26:22
 Flor de Sal Marnoto ," 250 G  | 7,16 €/KG
"," 1,79 € ",2023-05-12 18:26:22
 Cacau Magro em Pó Pingo Doce ," 125 G  | 7,92 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Molho Piri-Piri Extra Forte Pingo Doce ," 100 ML  | 9,90 €/LT
"," 0,99 € ",2023-05-12 18:26:22
 Molho de Vinagrete Pingo Doce ," 245 ML  | 4,86 €/LT
"," 1,19 € ",2023-05-12 18:26:22
 Molho Piri-piri Pingo Doce ," 195 ML  | 1,90 €/LT
"," 0,37 € ",2023-05-12 18:26:22
 Bolachas de Chocolate Fingers Cadbury ," 114 G  | 19,21 €/KG
"," 2,19 € ",2023-05-12 18:26:22
 Polpa de Maracujá sem sementes Koala ," 565 G  | 7,15 €/KG
"," 4,04 € ",2023-05-12 18:26:22
 Lichias em Calda Koala ," 567 G  | 4,92 €/KG
"," 2,79 € ",2023-05-12 18:26:22
 Farinha de Trigo sem Fermento Tipo 65 Pérola ," 1 KG  | 0,84 €/KG
"," 0,84 € ",2023-05-12 18:26:22
 Fusilli Com Cogumelos Pingo Doce ," 155 G  | 8,97 €/KG
"," 1,39 € ",2023-05-12 18:26:22
 Mostarda Dijon Pingo Doce ," 200 G  | 7,20 €/KG
"," 1,44 € ",2023-05-12 18:26:22
 Gelatina em Folha Incolor Premium ," 5X9 G  | 15,33 €/KG
"," 0,69 € ",2023-05-12 18:26:22
 Snacks Pops Cocoa Urban Foods ," 27 G  | 51,48 €/KG
"," 1,39 € ",2023-05-12 18:26:22
 Milho para Pipocas Pingo Doce ," 250 G  | 1,56 €/KG
"," 0,39 € ",2023-05-12 18:26:22
 Sardinha em Azeite Pingo Doce ," 120 G  | 8,25 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica de Morango Chiclets ," 16.5 G  | 60,00 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Mel com Geleia Real Serramel ," 300 G  | 19,23 €/KG
"," 5,77 € ",2023-05-12 18:26:22
 Sardinha em Tomate Pingo Doce ," 120 G  | 8,25 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Sal Marinho Tradicional Marnoto ," 1 KG  | 0,89 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Sal Fino Iodado Vatel ," 250 G  | 3,16 €/KG
"," 0,79 € ",2023-05-12 18:26:22
 Mel de Rosmaninho Lacre Serramel ," 500 G  | 14,28 €/KG
"," 7,14 € ",2023-05-12 18:26:22
 Mel Cremoso de Laranjeira do Algarve Serramel ," 420 G  | 15,21 €/KG
"," 6,39 € ",2023-05-12 18:26:22
 Mel de Queiró e Rosmaninho Serramel ," 300 G  | 14,13 €/KG
"," 4,24 € ",2023-05-12 18:26:22
 Sal Marinho Especial Saladas Vatel ," 250 G  | 3,36 €/KG
"," 0,84 € ",2023-05-12 18:26:22
 Sal Fino de Mesa Vatel ," 250 G  | 1,96 €/KG
"," 0,49 € ",2023-05-12 18:26:22
