,Time scraped,Category,Name,Amount,Units,List_Price,Price_per_unit_of_measure,Currency
0,2023-05-12 18:26:22,mercearia, Doce de Abóbora Sabores do Campo ,0.31,KG,1.99,6.42,€
1,2023-05-12 18:26:22,mercearia, Sal em Saco Rui Simeão Marinho DOP ,1.5,KG,1.37,0.91,€
2,2023-05-12 18:26:22,mercearia, Doce de Tomate Sabores do Campo ,0.31,KG,1.99,6.42,€
3,2023-05-12 18:26:22,mercearia, Snack Hóstias de Camarão Zanuy ,0.05,KG,1.79,35.8,€
4,2023-05-12 18:26:22,mercearia, Cacau Cru em Pepitas Seara ,0.1,KG,3.99,39.9,€
5,2023-05-12 18:26:22,mercearia, Pimenta Branca Moída Pingo Doce ,0.043,KG,0.89,20.7,€
6,2023-05-12 18:26:22,mercearia, Ervilhas Jerónimos ,0.34,KG,1.59,4.68,€
7,2023-05-12 18:26:22,mercearia, Adoçante em Pó Pingo Doce ,0.09,KG,2.29,25.44,€
8,2023-05-12 18:26:22,mercearia, Bolachas Canudinhos Waffer Dailidoce ,0.3,KG,2.54,8.47,€
9,2023-05-12 18:26:22,mercearia, Doce de Morango Sabores do Campo ,0.31,KG,1.99,6.42,€
10,2023-05-12 18:26:22,mercearia, Jaca em Calda Koala ,0.565,KG,2.83,5.01,€
11,2023-05-12 18:26:22,mercearia, Risotto com Cogumelos Porcini Pingo Doce ,0.175,KG,1.39,7.94,€
12,2023-05-12 18:26:22,mercearia, Tablete Chocolate Negro 70% Sobremesas Lindt ,0.2,KG,3.99,19.95,€
13,2023-05-12 18:26:22,mercearia, Molho de Mostarda com Pickles Bandido ,0.2,KG,2.25,11.25,€
14,2023-05-12 18:26:22,mercearia, Molho Inglês Savora ,0.12,L,1.69,14.08,€
15,2023-05-12 18:26:22,mercearia, Farinha para Pão Branco Pingo Doce ,0.5,KG,0.99,1.98,€
16,2023-05-12 18:26:22,mercearia, Feijão Branco Seco Pingo Doce ,0.5,KG,0.99,1.98,€
17,2023-05-12 18:26:22,mercearia, Aroma de Baunilha Globo ,0.028,L,1.34,47.86,€
18,2023-05-12 18:26:22,mercearia, Farinha de Arroz Globo ,0.25,KG,0.79,3.16,€
19,2023-05-12 18:26:22,mercearia, Bolachas de Manteiga Tradicionais St Michel ,0.13,KG,1.89,14.54,€
20,2023-05-12 18:26:22,mercearia, Piri-piri Moído Pingo Doce ,0.041,KG,0.59,14.39,€
21,2023-05-12 18:26:22,mercearia, Sopa Miso Saitaku ,0.088,KG,1.99,22.61,€
22,2023-05-12 18:26:22,mercearia, Waffers de Baunilha Dailidoce ,0.25,KG,2.04,8.16,€
23,2023-05-12 18:26:22,mercearia, Farinha para Bolo de Chocolate Pingo Doce ,0.5,KG,2.49,4.98,€
24,2023-05-12 18:26:22,mercearia, Pastilha Elástica de Peppermint Pingo Doce ,0.0261,KG,0.49,18.77,€
25,2023-05-12 18:26:22,mercearia, Doce de Figo Sabores do Campo ,0.31,KG,1.99,6.42,€
26,2023-05-12 18:26:22,mercearia, Molho Piri-Piri Extreme Bandido ,0.1,L,2.25,22.5,€
27,2023-05-12 18:26:22,mercearia, Molho Piri-Piri Original Bandido ,0.1,L,2.25,22.5,€
28,2023-05-12 18:26:22,mercearia, Molho para Francesinha Pingo Doce ,0.5,L,1.99,3.98,€
29,2023-05-12 18:26:22,mercearia, Bolsa de Fruta Manga Um Bongo ,0.09,KG,0.99,11.0,€
30,2023-05-12 18:26:22,mercearia, Pipocas Doces Saloinha ,0.15,KG,1.29,8.6,€
31,2023-05-12 18:26:22,mercearia, Rebuçados para a Tosse Pingo Doce ,0.2,KG,1.09,5.45,€
32,2023-05-12 18:26:22,mercearia, Bolachas de Manteiga com Recheio de Caramelo Daelmans ,0.23,KG,2.39,10.39,€
33,2023-05-12 18:26:22,mercearia, Feijoca Branca Cister ,0.4,KG,0.62,1.55,€
34,2023-05-12 18:26:22,mercearia, Pastilha Elástica de Melão e Amora Pingo Doce ,0.022,KG,0.63,28.64,€
35,2023-05-12 18:26:22,mercearia, Molho Inglês Pingo Doce ,0.192,L,0.99,5.16,€
36,2023-05-12 18:26:22,mercearia, Leite de Coco Condensado com Chocolate Koala ,0.32,KG,2.89,9.03,€
37,2023-05-12 18:26:22,mercearia, Flor de Sal Marinho Rui Simeão ,0.25,KG,2.25,9.0,€
38,2023-05-12 18:26:22,mercearia, Lichias em Calda Globo ,0.565,KG,3.79,6.71,€
39,2023-05-12 18:26:22,mercearia, Molho de Piri Piri Jalapeño Bandido ,0.1,L,2.25,22.5,€
40,2023-05-12 18:26:22,mercearia, Velas e Números Vahine ,10.0,UN,5.19,0.52,€
41,2023-05-12 18:26:22,mercearia, Gelatina de Frutos Vermelhos +Proteína Condi ,0.08,KG,3.14,39.25,€
42,2023-05-12 18:26:22,mercearia, Bolachas Maria Pingo Doce ,0.2,KG,0.59,2.95,€
43,2023-05-12 18:26:22,mercearia, Tomilho em Folha Pingo Doce ,0.02,KG,0.89,44.5,€
44,2023-05-12 18:26:22,mercearia, Leite Creme Pingo Doce ,0.092,KG,0.49,5.33,€
45,2023-05-12 18:26:22,mercearia, Pastilha Elástica de Canela Chiclets ,0.016800000000000002,KG,0.99,58.93,€
46,2023-05-12 18:26:22,mercearia, Cebolinho Pingo Doce ,0.0045,KG,0.99,220.0,€
47,2023-05-12 18:26:22,mercearia, Pastilha Elástica de Spearmint Chiclets ,0.016800000000000002,KG,0.99,58.93,€
48,2023-05-12 18:26:22,mercearia, Sardinha sem Pele e sem Espinha em Azeite Pingo Doce ,0.12,KG,1.69,14.08,€
49,2023-05-12 18:26:22,mercearia, Sardinha sem Pele e sem Espinha em Tomate Pingo Doce ,0.12,KG,1.69,14.08,€
50,2023-05-12 18:26:22,mercearia, Rebuçados Peitorais Dr. Bayard ,0.2,KG,2.15,10.75,€
51,2023-05-12 18:26:22,mercearia, Molho de Vinagrete com Mostarda L'Ancienne Pingo Doce ,0.245,L,1.39,5.67,€
52,2023-05-12 18:26:22,mercearia, Farinha de Arroz Ceifeira ,0.5,KG,1.09,2.18,€
53,2023-05-12 18:26:22,mercearia, Flor de Sal Marnoto ,0.25,KG,1.79,7.16,€
54,2023-05-12 18:26:22,mercearia, Cacau Magro em Pó Pingo Doce ,0.125,KG,0.99,7.92,€
55,2023-05-12 18:26:22,mercearia, Molho Piri-Piri Extra Forte Pingo Doce ,0.1,L,0.99,9.9,€
56,2023-05-12 18:26:22,mercearia, Molho de Vinagrete Pingo Doce ,0.245,L,1.19,4.86,€
57,2023-05-12 18:26:22,mercearia, Molho Piri-piri Pingo Doce ,0.195,L,0.37,1.9,€
58,2023-05-12 18:26:22,mercearia, Bolachas de Chocolate Fingers Cadbury ,0.114,KG,2.19,19.21,€
59,2023-05-12 18:26:22,mercearia, Polpa de Maracujá sem sementes Koala ,0.565,KG,4.04,7.15,€
60,2023-05-12 18:26:22,mercearia, Lichias em Calda Koala ,0.567,KG,2.79,4.92,€
61,2023-05-12 18:26:22,mercearia, Farinha de Trigo sem Fermento Tipo 65 Pérola ,1.0,KG,0.84,0.84,€
62,2023-05-12 18:26:22,mercearia, Fusilli Com Cogumelos Pingo Doce ,0.155,KG,1.39,8.97,€
63,2023-05-12 18:26:22,mercearia, Mostarda Dijon Pingo Doce ,0.2,KG,1.44,7.2,€
64,2023-05-12 18:26:22,mercearia, Gelatina em Folha Incolor Premium ,0.045,KG,0.69,15.33,€
65,2023-05-12 18:26:22,mercearia, Snacks Pops Cocoa Urban Foods ,0.027,KG,1.39,51.48,€
66,2023-05-12 18:26:22,mercearia, Milho para Pipocas Pingo Doce ,0.25,KG,0.39,1.56,€
67,2023-05-12 18:26:22,mercearia, Sardinha em Azeite Pingo Doce ,0.12,KG,0.99,8.25,€
68,2023-05-12 18:26:22,mercearia, Pastilha Elástica de Morango Chiclets ,0.0165,KG,0.99,60.0,€
69,2023-05-12 18:26:22,mercearia, Mel com Geleia Real Serramel ,0.3,KG,5.77,19.23,€
70,2023-05-12 18:26:22,mercearia, Sardinha em Tomate Pingo Doce ,0.12,KG,0.99,8.25,€
71,2023-05-12 18:26:22,mercearia, Sal Marinho Tradicional Marnoto ,1.0,KG,0.89,0.89,€
72,2023-05-12 18:26:22,mercearia, Sal Fino Iodado Vatel ,0.25,KG,0.79,3.16,€
73,2023-05-12 18:26:22,mercearia, Mel de Rosmaninho Lacre Serramel ,0.5,KG,7.14,14.28,€
74,2023-05-12 18:26:22,mercearia, Mel Cremoso de Laranjeira do Algarve Serramel ,0.42,KG,6.39,15.21,€
75,2023-05-12 18:26:22,mercearia, Mel de Queiró e Rosmaninho Serramel ,0.3,KG,4.24,14.13,€
76,2023-05-12 18:26:22,mercearia, Sal Marinho Especial Saladas Vatel ,0.25,KG,0.84,3.36,€
77,2023-05-12 18:26:22,mercearia, Sal Fino de Mesa Vatel ,0.25,KG,0.49,1.96,€
78,2023-05-12 18:26:22,mercearia, Mel de Queiró Serramel ,0.5,KG,6.39,12.78,€
79,2023-05-12 18:26:22,mercearia, Macedónia de Legumes Pingo Doce ,0.4,KG,0.99,2.47,€
80,2023-05-12 18:26:22,mercearia, Rebentos de Feijão Mungo Pingo Doce ,0.2,KG,0.79,3.95,€
81,2023-05-12 18:26:22,mercearia, Mistura Flor de Sal com Orégãos Marnoto ,0.125,KG,2.59,20.72,€
82,2023-05-12 18:26:22,mercearia, Mistura Flor de Sal com Piri-Piri Marnoto ,0.125,KG,2.59,20.72,€
83,2023-05-12 18:26:22,mercearia, Mistura Flor de Sal com Alho Marnoto ,0.125,KG,2.59,20.72,€
84,2023-05-12 18:26:22,mercearia, Doce de Abóbora com Amêndoas Beirabaga ,0.27,KG,3.19,11.81,€
85,2023-05-12 18:26:22,mercearia, Doce de Tomate Beirabaga ,0.27,KG,3.19,11.81,€
